,Movie Name,Director Name,Stars,Movie Rating,Release Date
0,The Shawshank Redemption,Frank Darabont ," Tim Robbins, Morgan Freeman",9.2,1994
1,The Godfather,Francis Ford Coppola ," Marlon Brando, Al Pacino",9.1,1972
2,The Godfather: Part II,Francis Ford Coppola ," Al Pacino, Robert De Niro",9.0,1974
3,The Dark Knight,Christopher Nolan ," Christian Bale, Heath Ledger",9.0,2008
4,12 Angry Men,Sidney Lumet ," Henry Fonda, Lee J. Cobb",8.9,1957
5,Schindler's List,Steven Spielberg ," Liam Neeson, Ralph Fiennes",8.9,1993
6,The Lord of the Rings: The Return of the King,Peter Jackson ," Elijah Wood, Viggo Mortensen",8.9,2003
7,Pulp Fiction,Quentin Tarantino ," John Travolta, Uma Thurman",8.8,1994
8,"Il buono, il brutto, il cattivo",Sergio Leone ," Clint Eastwood, Eli Wallach",8.8,1966
9,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson ," Elijah Wood, Ian McKellen",8.8,2001
10,Fight Club,David Fincher ," Brad Pitt, Edward Norton",8.8,1999
11,Forrest Gump,Robert Zemeckis ," Tom Hanks, Robin Wright",8.7,1994
12,Inception,Christopher Nolan ," Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,2010
13,The Lord of the Rings: The Two Towers,Peter Jackson ," Elijah Wood, Ian McKellen",8.7,2002
14,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner ," Mark Hamill, Harrison Ford",8.7,1980
15,The Matrix,Lana Wachowski ," Keanu Reeves, Laurence Fishburne",8.6,1999
16,Goodfellas,Martin Scorsese ," Robert De Niro, Ray Liotta",8.6,1990
17,One Flew Over the Cuckoo's Nest,Milos Forman ," Jack Nicholson, Louise Fletcher",8.6,1975
18,Shichinin no samurai,Akira Kurosawa ," Toshirô Mifune, Takashi Shimura",8.6,1954
19,Se7en,David Fincher ," Morgan Freeman, Brad Pitt",8.6,1995
20,The Silence of the Lambs,Jonathan Demme ," Jodie Foster, Anthony Hopkins",8.6,1991
21,Cidade de Deus,Fernando Meirelles ," Alexandre Rodrigues, Leandro Firmino",8.6,2002
22,It's a Wonderful Life,Frank Capra ," James Stewart, Donna Reed",8.6,1946
23,La vita è bella,Roberto Benigni ," Roberto Benigni, Nicoletta Braschi",8.6,1997
24,Star Wars,George Lucas ," Mark Hamill, Harrison Ford",8.6,1977
25,Saving Private Ryan,Steven Spielberg ," Tom Hanks, Matt Damon",8.5,1998
